Date,Open,High,Low,Close,Volume
2023-01-01,200.0,200.16,199.84,200.0,927090
2023-01-02,200.0,200.0,197.45,197.83,1593877
2023-01-03,197.83,200.6,197.83,199.8,1815807
2023-01-04,199.8,201.51,199.22,200.37,1261805
2023-01-05,200.37,200.37,197.18,197.35,1180145
2023-01-06,197.35,197.35,195.18,196.21,1794935
2023-01-07,196.21,199.91,196.21,199.45,1206405
2023-01-08,199.45,199.45,193.36,195.46,1425839
2023-01-09,195.46,196.01,193.23,194.62,803225
2023-01-10,194.62,197.74,194.62,197.08,1424012
2023-01-11,197.08,197.08,194.46,195.38,1882293
2023-01-12,195.38,195.38,192.75,194.05,1273244
2023-01-13,194.05,194.14,193.59,193.87,1677287
2023-01-14,193.87,197.09,193.87,196.76,1839037
2023-01-15,196.76,196.76,194.4,195.5,1980225
2023-01-16,195.5,195.5,194.5,194.63,1045451
2023-01-17,194.63,194.63,193.03,193.79,1340763
2023-01-18,193.79,198.54,193.79,197.66,1156232
2023-01-19,197.66,201.72,197.66,201.62,1913101
2023-01-20,201.62,205.08,201.62,203.64,1704231
2023-01-21,203.64,206.77,202.08,204.43,1690234
2023-01-22,204.43,206.0,204.43,205.93,1807092
2023-01-23,205.93,209.14,205.93,209.0,999125
2023-01-24,209.0,209.0,206.31,207.05,1167763
2023-01-25,207.05,210.47,207.05,209.48,1598313
2023-01-26,209.48,209.48,206.52,206.86,1865428
2023-01-27,206.86,206.86,204.76,205.54,1635573
2023-01-28,205.54,209.38,205.42,207.4,1718115
2023-01-29,207.4,207.4,202.55,204.44,1478770
2023-01-30,204.44,204.44,203.99,204.15,1777812
2023-01-31,204.15,204.15,201.58,202.39,1204479
2023-02-01,202.39,202.39,201.78,201.87,1488876
2023-02-02,201.87,201.87,197.68,197.84,1701972
2023-02-03,197.84,197.84,194.05,194.33,1309168
2023-02-04,194.33,194.33,191.98,192.97,1474662
2023-02-05,192.97,195.0,192.97,194.76,1773973
2023-02-06,194.76,194.76,194.13,194.42,1361585
2023-02-07,194.42,195.15,193.71,194.43,1498610
2023-02-08,194.43,195.85,194.43,195.77,1047314
2023-02-09,195.77,195.77,193.26,194.05,1602060
2023-02-10,194.05,196.02,193.18,194.6,835183
2023-02-11,194.6,194.6,192.73,193.03,1693736
2023-02-12,193.03,193.03,189.61,189.69,1367495
2023-02-13,189.69,189.69,188.84,188.95,880129
2023-02-14,188.95,191.02,188.95,190.04,1584037
2023-02-15,190.04,191.54,189.82,190.68,1639800
2023-02-16,190.68,190.82,190.5,190.66,1593401
2023-02-17,190.66,197.05,190.66,194.47,1745824
2023-02-18,194.47,195.93,194.47,195.27,1293883
2023-02-19,195.27,198.5,195.27,197.18,1185582
2023-02-20,197.18,201.21,197.18,201.13,1814639
2023-02-21,201.13,201.13,198.19,198.53,1986841
2023-02-22,198.53,198.53,195.21,196.46,1083919
2023-02-23,196.46,199.97,196.46,199.89,1402659
2023-02-24,199.89,199.89,197.42,198.29,1176402
2023-02-25,198.29,198.56,198.15,198.35,1769349
2023-02-26,198.35,200.8,198.35,200.47,1873973
2023-02-27,200.47,202.31,200.47,202.26,1976698
2023-02-28,202.26,205.93,202.26,205.81,1447405
2023-03-01,205.81,209.2,205.81,208.89,1250222
2023-03-02,208.89,211.13,208.89,211.12,916445
2023-03-03,211.12,211.12,208.92,209.49,1210196
2023-03-04,209.49,211.2,209.49,211.15,1758707
2023-03-05,211.15,212.45,211.15,211.82,1332041
2023-03-06,211.82,211.82,208.37,209.01,1658721
2023-03-07,209.01,213.32,209.01,211.97,1960993
2023-03-08,211.97,214.08,211.97,213.68,1580900
2023-03-09,213.68,213.8,213.68,213.78,880938
2023-03-10,213.78,215.14,211.42,213.28,1991639
2023-03-11,213.28,213.28,210.06,210.73,1056814
2023-03-12,210.73,212.54,209.75,211.15,926535
2023-03-13,211.15,212.94,211.15,212.14,1561330
2023-03-14,212.14,212.14,209.3,210.37,1137481
2023-03-15,210.37,213.41,210.37,212.82,994419
2023-03-16,212.82,212.82,208.17,210.48,1516919
2023-03-17,210.48,210.48,205.34,206.27,831435
2023-03-18,206.27,209.9,206.27,208.42,1865112
2023-03-19,208.42,208.42,207.17,207.58,1950211
2023-03-20,207.58,208.03,206.6,207.31,1315776
2023-03-21,207.31,207.31,205.23,205.58,1915716
2023-03-22,205.58,205.58,201.38,202.28,978533
2023-03-23,202.28,205.05,202.28,204.82,1665421
2023-03-24,204.82,204.82,203.36,203.4,809285
2023-03-25,203.4,206.86,203.4,206.78,1850149
2023-03-26,206.78,208.57,206.78,208.45,1236291
2023-03-27,208.45,210.23,205.36,207.8,1070556
2023-03-28,207.8,207.8,204.13,205.54,1486576
2023-03-29,205.54,205.54,202.74,204.03,1302352
2023-03-30,204.03,204.03,200.54,201.56,1343706
2023-03-31,201.56,205.74,201.56,205.59,1937902
