Date,Open,High,Low,Close,Volume
2020-01-01,150.00,152.50,149.50,151.25,1000000
2020-01-02,151.25,153.00,150.00,152.00,1100000
2020-01-03,152.00,154.50,151.50,153.75,1200000
2020-01-04,153.75,155.00,152.50,154.25,1050000
2020-01-05,154.25,156.00,153.00,155.50,1150000
2020-01-06,155.50,157.50,154.50,156.75,1300000
2020-01-07,156.75,158.00,155.75,157.25,1250000
2020-01-08,157.25,159.50,156.50,158.50,1400000
2020-01-09,158.50,160.00,157.50,159.25,1350000
2020-01-10,159.25,161.00,158.25,160.50,1450000
2020-01-11,160.50,162.50,159.50,161.75,1500000
2020-01-12,161.75,163.00,160.50,162.25,1400000
2020-01-13,162.25,164.00,161.00,163.50,1550000
2020-01-14,163.50,165.50,162.50,164.75,1600000
2020-01-15,164.75,166.00,163.50,165.25,1450000
2020-01-16,165.25,167.00,164.00,166.50,1700000
2020-01-17,166.50,168.50,165.50,167.75,1650000
2020-01-18,167.75,169.00,166.50,168.25,1550000
2020-01-19,168.25,170.00,167.00,169.50,1750000
2020-01-20,169.50,171.50,168.50,170.75,1800000
2020-01-21,170.75,172.00,169.50,171.25,1700000
2020-01-22,171.25,173.00,170.00,172.50,1850000
2020-01-23,172.50,174.50,171.50,173.75,1900000
2020-01-24,173.75,175.00,172.50,174.25,1750000
2020-01-25,174.25,176.00,173.00,175.50,2000000
2020-01-26,175.50,177.50,174.50,176.75,1950000
2020-01-27,176.75,178.00,175.50,177.25,1800000
2020-01-28,177.25,179.00,176.00,178.50,2100000
2020-01-29,178.50,180.50,177.50,179.75,2050000
2020-01-30,179.75,181.00,178.50,180.25,1950000
2020-01-31,180.25,182.00,179.00,181.50,2200000
2020-02-01,181.50,183.50,180.50,182.75,2150000
2020-02-02,182.75,184.00,181.50,183.25,2000000
2020-02-03,183.25,185.00,182.00,184.50,2250000
2020-02-04,184.50,186.50,183.50,185.75,2300000
2020-02-05,185.75,187.00,184.50,186.25,2100000
2020-02-06,186.25,188.00,185.00,187.50,2400000
2020-02-07,187.50,189.50,186.50,188.75,2350000
2020-02-08,188.75,190.00,187.50,189.25,2200000
2020-02-09,189.25,191.00,188.00,190.50,2450000
2020-02-10,190.50,192.50,189.50,191.75,2500000
2020-02-11,191.75,193.00,190.50,192.25,2350000
2020-02-12,192.25,194.00,191.00,193.50,2600000
2020-02-13,193.50,195.50,192.50,194.75,2550000
2020-02-14,194.75,196.00,193.50,195.25,2400000
2020-02-15,195.25,197.00,194.00,196.50,2700000
2020-02-16,196.50,198.50,195.50,197.75,2650000
2020-02-17,197.75,199.00,196.50,198.25,2500000
2020-02-18,198.25,200.00,197.00,199.50,2800000
2020-02-19,199.50,201.50,198.50,200.75,2750000
2020-02-20,200.75,202.00,199.50,201.25,2600000
2020-02-21,201.25,203.00,200.00,202.50,2900000
2020-02-22,202.50,204.50,201.50,203.75,2850000
2020-02-23,203.75,205.00,202.50,204.25,2700000
2020-02-24,204.25,206.00,203.00,205.50,3000000
2020-02-25,205.50,207.50,204.50,206.75,2950000
2020-02-26,206.75,208.00,205.50,207.25,2800000
2020-02-27,207.25,209.00,206.00,208.50,3100000
2020-02-28,208.50,210.50,207.50,209.75,3050000
2020-02-29,209.75,211.00,208.50,210.25,2900000
2020-03-01,210.25,212.00,209.00,211.50,3200000
2020-03-02,211.50,213.50,210.50,212.75,3150000
2020-03-03,212.75,214.00,211.50,213.25,3000000
2020-03-04,213.25,215.00,212.00,214.50,3300000
2020-03-05,214.50,216.50,213.50,215.75,3250000
2020-03-06,215.75,217.00,214.50,216.25,3100000
2020-03-07,216.25,218.00,215.00,217.50,3400000
2020-03-08,217.50,219.50,216.50,218.75,3350000
2020-03-09,218.75,220.00,217.50,219.25,3200000
2020-03-10,219.25,221.00,218.00,220.50,3500000
2020-03-11,220.50,222.50,219.50,221.75,3450000
2020-03-12,221.75,223.00,220.50,222.25,3300000
2020-03-13,222.25,224.00,221.00,223.50,3600000
2020-03-14,223.50,225.50,222.50,224.75,3550000
2020-03-15,224.75,226.00,223.50,225.25,3400000
2020-03-16,225.25,227.00,224.00,226.50,3700000
2020-03-17,226.50,228.50,225.50,227.75,3650000
2020-03-18,227.75,229.00,226.50,228.25,3500000
2020-03-19,228.25,230.00,227.00,229.50,3800000
2020-03-20,229.50,231.50,228.50,230.75,3750000
2020-03-21,230.75,232.00,229.50,231.25,3600000
2020-03-22,231.25,233.00,230.00,232.50,3900000
2020-03-23,232.50,234.50,231.50,233.75,3850000
2020-03-24,233.75,235.00,232.50,234.25,3700000
2020-03-25,234.25,236.00,233.00,235.50,4000000
2020-03-26,235.50,237.50,234.50,236.75,3950000
2020-03-27,236.75,238.00,235.50,237.25,3800000
2020-03-28,237.25,239.00,236.00,238.50,4100000
2020-03-29,238.50,240.50,237.50,239.75,4050000
2020-03-30,239.75,241.00,238.50,240.25,3900000
2020-03-31,240.25,242.00,239.00,241.50,4200000
